Text,Date,Time,Draft,Facebook,Twitter/X,LinkedIn,GBP,Instagram,Pinterest,TikTok,YouTube,Threads,Bluesky,Picture Url 1,Alt text picture 1,Brand name (Optional)
"marcus aurelius wrote that in the second century. it lands harder now. we live in an era designed to make you feel like your power lives somewhere outside you. in the algorithm. in someone else's opinion. in the thing that hasn't happened yet. it doesn't. your mind is the only territory that's actually yours. build there first. ♡ - MK
📖 If this landed — The Reinvention Workbook is the guided version. Read more at mkparrish.com/shelf
#stoicwisdom #marcusaurelius #innerpower #philosophyoflife #mkparrish",23/06/2026,09:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/empathicmk-svg/mkparrish-site/main/output/instagram-editorial/philosophy/post-01-the-only-room.png,you have power over your mind not outside events — marcus aurelius,
"nobody tells you the worst part isn't the yelling. it's the silence after. the apology that isn't one. the way you start editing yourself before you even open your mouth. you don't lose yourself all at once. you lose yourself in the rooms where you stopped speaking. if this is you, you are not crazy. you are not too sensitive. you are surviving something that doesn't always leave a mark. ♡ - MK
🤍 For the rebuild: The Reinvention Workbook — a guided companion for becoming new. mkparrish.com/shelf
#domesticviolenceawareness #emotionalabuse #narcissisticabuse #survivor #therewrite #mkparrish",23/06/2026,13:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/empathicmk-svg/mkparrish-site/main/output/instagram-editorial/fifty/post-01-the-quiet-ones.png,the bruises everyone asks about are never the ones that broke you,
"biggie said this decades ago and it is still the best business advice i've ever heard. stop taking the safe bid. stop playing it small. move with your whole chest or don't move at all. ♡ - MK
🔥 Move with your whole chest. Write Yourself Into the Room → mkparrish.com/shelf
#biggiesmalls #notorious #boldmoves #hiphopwisdom #mkparrish",23/06/2026,18:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/empathicmk-svg/mkparrish-site/main/output/instagram-editorial/bold/post-01-stay-far-from-timid.png,stay far from timid only make moves when your heart's in it — the notorious b.i.g.,
"biggie said this decades ago and it is still the best business advice i've ever heard. stop taking the safe bid. stop playing it small. move with your whole chest or don't move at all. ♡ - MK
🔥 The full library lives at mkparrish.com/shelf — start with Write Yourself Into the Room
#biggiesmalls #notorious #boldmoves #hiphopwisdom #mkparrish",24/06/2026,09:00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/empathicmk-svg/mkparrish-site/main/output/tiktok/post-01-bold-stay-far-from-timid.mp4,stay far from timid only make moves when your heart's in it — the notorious b.i.g.,
"the most luxurious thing you own isn't visible. it's the quiet certainty you carry when everything else collapses. resilience doesn't announce itself. it shows up as the morning you decide again. the day you keep building when there's no applause. i've been in the winter. the summer is still there. it always was. ♡ - MK
✍️ Build a voice that says it like this → Write Yourself Into the Room at mkparrish.com/shelf
#albertcamus #resilience #innerstrength #philosophyoflife #mkparrish",24/06/2026,13:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/empathicmk-svg/mkparrish-site/main/output/instagram-editorial/philosophy/post-02-the-invincible-summer.png,in the midst of winter i found there was within me an invincible summer — albert camus,
"they spend months convincing you you're crazy in private. then perform sanity for an officer in five minutes flat. you stand on your own front porch explaining yourself for a script you didn't write. reactive abuse is real. DARVO is real. the woman shaking on the curb is not the aggressor. she's the witness he's trying to discredit. ♡ - MK
📚 Every guide in one place — The Vault (complete library) at mkparrish.com/shelf
#DARVO #reactiveabuse #domesticviolence #believewomen #therewrite",24/06/2026,18:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/empathicmk-svg/mkparrish-site/main/output/instagram-editorial/fifty/post-02-darvo.png,he hit me then called the police on me for reacting,
"the information has always been available. the difference between where you are and where you want to be is almost always what you decided to do with what you already knew. ♡ - MK
🎤 Build a brand voice nobody can copy — The Brand Voice Playbook at mkparrish.com/shelf
#biggiesmalls #hiphopwisdom #knowledgeispower #boldquotes #mkparrish",25/06/2026,09:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/empathicmk-svg/mkparrish-site/main/output/instagram-editorial/bold/post-02-now-you-know.png,if you don't know now you know — the notorious b.i.g.,
"the information has always been available. the difference between where you are and where you want to be is almost always what you decided to do with what you already knew. ♡ - MK
📚 More where this came from → The Vault at mkparrish.com/shelf
#biggiesmalls #hiphopwisdom #knowledgeispower #boldquotes #mkparrish",25/06/2026,13:00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/empathicmk-svg/mkparrish-site/main/output/tiktok/post-02-bold-now-you-know.mp4,if you don't know now you know — the notorious b.i.g.,
"nobody builds a luxury life on a single decision. they build it on a thousand small ones that nobody saw. the early morning. the draft nobody liked. the pitch after the no. the standard held when no one was watching. excellence is boring up close. that's the point. ♡ - MK
📖 If this landed — The Reinvention Workbook is the guided version. Read more at mkparrish.com/shelf
#aristotle #excellence #discipline #philosophyoflife #mkparrish",25/06/2026,18:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/empathicmk-svg/mkparrish-site/main/output/instagram-editorial/philosophy/post-03-not-an-act-a-habit.png,we are what we repeatedly do excellence is not an act it is a habit — aristotle,
"nobody warns you that abuse can be quiet. that it can wear a wedding ring. that it can say good morning and ruin your nervous system by noon. the version of you that used to laugh, gone. the friends you stopped calling. the way you started apologizing for taking up space in your own life. that's not a bad relationship. that's a slow erasure. ♡ - MK
🤍 For the rebuild: The Reinvention Workbook — a guided companion for becoming new. mkparrish.com/shelf
#coercivecontrol #emotionalabuse #gaslighting #domesticviolenceawareness #therewrite",26/06/2026,09:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/empathicmk-svg/mkparrish-site/main/output/instagram-editorial/fifty/post-03-the-erosion.png,it wasn't one bad day it was a thousand small surrenders,
"reframe the whole thing. you cannot lose if you decide that loss is still data. hov has been saying this for thirty years. some of us are just now hearing it. ♡ - MK
🔥 Move with your whole chest. Write Yourself Into the Room → mkparrish.com/shelf
#jayz #hiphopwisdom #neverlose #successmindset #mkparrish",26/06/2026,13:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/empathicmk-svg/mkparrish-site/main/output/instagram-editorial/bold/post-03-i-will-not-lose.png,i will not lose for even in defeat there is a valuable lesson learned — jay-z,
"reframe the whole thing. you cannot lose if you decide that loss is still data. hov has been saying this for thirty years. some of us are just now hearing it. ♡ - MK
🔥 The full library lives at mkparrish.com/shelf — start with Write Yourself Into the Room
#jayz #hiphopwisdom #neverlose #successmindset #mkparrish",26/06/2026,18:00,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/empathicmk-svg/mkparrish-site/main/output/tiktok/post-03-bold-i-will-not-lose.mp4,i will not lose for even in defeat there is a valuable lesson learned — jay-z,
"she wasn't talking about gender alone. she was talking about the daily relentless act of constructing yourself. you are not who you were handed. you are who you keep choosing. the woman you are becoming is made of every small refusal to stay what was convenient. ♡ - MK
✍️ Build a voice that says it like this → Write Yourself Into the Room at mkparrish.com/shelf
#simonedebeauvoir #becomingher #reinvention #philosophyoflife #mkparrish",27/06/2026,09:00,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,https://raw.githubusercontent.com/empathicmk-svg/mkparrish-site/main/output/instagram-editorial/philosophy/post-04-become.png,one is not born a woman one becomes one — simone de beauvoir,
