Number,Format,Theme,Title,On-Screen Text,Caption,Hashtags,Visual Note
1,Reel,Quiet Abuse,The Quiet Ones,"the bruises everyone asks about / are never the ones that broke you","nobody tells you the worst part isn't the yelling. it's the silence after. the apology that isn't one. the way you start editing yourself before you even open your mouth. you don't lose yourself all at once. you lose yourself in the rooms where you stopped speaking. if this is you, you are not crazy. you are not too sensitive. you are surviving something that doesn't always leave a mark. ♡ - MK","#domesticviolenceawareness #emotionalabuse #narcissisticabuse #survivor #therewrite #mkparrish",Slow zoom on hands. Pink filter overlay. Serif headline.
2,Reel,Reactive Abuse,DARVO,"he hit me / then called the police on me / for reacting","they spend months convincing you you're crazy in private. then perform sanity for an officer in five minutes flat. you stand on your own front porch explaining yourself for a script you didn't write. reactive abuse is real. DARVO is real. the woman shaking on the curb is not the aggressor. she's the witness he's trying to discredit. ♡ - MK","#DARVO #reactiveabuse #domesticviolence #believewomen #therewrite",Black background. White type. Pink accent line under each phrase.
3,Carousel,Coercive Control,The Erosion,"it wasn't one bad day / it was a thousand small surrenders","nobody warns you that abuse can be quiet. that it can wear a wedding ring. that it can say good morning and ruin your nervous system by noon. the version of you that used to laugh, gone. the friends you stopped calling. the way you started apologizing for taking up space in your own life. that's not a bad relationship. that's a slow erasure. ♡ - MK","#coercivecontrol #emotionalabuse #gaslighting #domesticviolenceawareness #therewrite",6-slide carousel. One line per slide. Pink-to-white gradient.
4,Reel,Body Wisdom,What You Called Love,"what you called love / my body called a warning","your shoulders never dropped around him. your stomach knew before your mind did. you were not paranoid. you were not insecure. you were a woman whose body was begging her to leave a man her heart kept defending. trust the tightness in your chest. it has always been smarter than the story you were telling yourself. ♡ - MK","#trustyourgut #traumaresponse #leavingabuse #survivor #therewrite",Voiceover. B-roll of soft hands, water, a window.
5,Static,Silence,Suffering In Silence,"she was screaming / nobody heard / because she did it / with her mouth closed","the women suffering the loudest are often the quietest at brunch. she's funny. she's put together. she's the one who texts back. and she's been crying in her car for eight months and you have no idea. check on the friend who went quiet. believe her the first time. don't ask why she stayed, ask why he hurt her. ♡ - MK","#sufferinginsilence #checkonyourstrongfriend #domesticviolenceawareness #therewrite",Pink square. Centered black serif. Small ♡ - MK bottom right.
6,Carousel,Charm,The Lie Of The Good Ones,"he wasn't a monster / that was the problem / monsters are easier to leave","nobody hands you a leaflet that says abusers can be charming. they can be funny. they can cry. they can make your mother love them. they can hold your hand at a funeral and break your spirit by tuesday. the cognitive dissonance is the cage. the man who hurt you and the man you fell for live in the same body. leaving him means grieving both. ♡ - MK","#narcissisticabuse #cognitivedissonance #leavingabuse #therewrite",4-slide carousel. White background. Pink underline accents.
7,Reel,The Rewrite,The Rewrite,"he wrote me as the villain / so i picked up the pen","for a long time i lived inside his version of me. crazy. dramatic. too much. not enough. every word he handed me, i wore. then one day i realized the story was still being written. and the pen was never his to hold. you don't have to defend yourself to the people who profited from your silence. you just have to start writing the next page. rebrand your life. rewrite your story. ♡ - MK","#rewriteyourstory #rebrandyourlife #survivor #therewrite #mkparrish",Hand writing in a pink-tinted notebook. Slow tilt up.
8,Static,Leaving,The Night You Left,"the night i left / wasn't brave / it was the night i ran out of versions of myself / to give him","people will ask why you stayed. fewer will ask what it cost you to leave. you didn't leave because you got strong. you left because there was nothing left of you to bargain with. surviving is not a feeling. it's a decision you make in a kitchen at 2am with shaking hands. and it counts. all of it counts. ♡ - MK","#leavingabuse #survivorstories #domesticviolenceawareness #therewrite",Black tile. Pink hairline border. Small heart at bottom.
9,Reel,Projection,The Words He Gave You,"every cruel name he called you / was a confession / dressed up as an accusation","crazy. dramatic. unstable. too emotional. too much. not enough. those weren't descriptions of you. those were rehearsals of him. you can put down every word he handed you. they were never yours to carry. the woman he tried to convince you you were is not the woman who survived him. ♡ - MK","#gaslighting #projection #narcissisticabuse #therewrite",Words appear and dissolve one at a time on a soft pink ground.
10,Static,Healing,What Healing Looks Like,"healing is not a glow-up / it's flinching less / when someone raises their voice","nobody tells you healing is small. it's the night you sleep through. the text you don't answer. the apology you stop waiting for. the meal you eat without explaining yourself. it's not pretty. it's not linear. it's not content. it's a woman, alone in her own kitchen, slowly remembering she is allowed to take up the whole room. ♡ - MK","#healingjourney #aftertheabuse #survivor #therewrite #rewriteyourstory",White tile. Black serif. One pink line under healing.
