"Text","Date","Time","Draft","Facebook","Twitter/X","LinkedIn","GBP","Instagram","Pinterest","TikTok","YouTube","Threads","Bluesky","Instagram Post Type","Picture Url 1","Picture Url 2","Picture Url 3","Picture Url 4","Picture Url 5","Picture Url 6","Picture Url 7","Destination"
"Your followers are not a business model.\n\nThey are attention.\n\nAttention becomes a business when it has somewhere to go after the post performs.\n\nAn email list.\nA low-ticket offer.\nA paid community.\nA product page.\nA brand inquiry path.\nA follow-up sequence that does not depend on the algorithm remembering you exist.\n\nA viral post is a spark.\n\nA funnel is what keeps the heat.\n\nI made The Creator-Owned Funnel for creators who already have social attention and need a bridge from the feed to buyer behavior.\n\nGet it here: https://www.mkparrish.com/shop/the-creator-owned-funnel","2026-07-07","09:00","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","","","","","","","","","https://www.mkparrish.com/shop/the-creator-owned-funnel"
"Most creators are not short on ideas.\n\nThey are short on systems for using the good ones more than once.\n\nOne strong idea can become:\n\n- a short-form video\n- a LinkedIn post\n- a carousel\n- a story sequence\n- an email\n- a sales CTA\n- a brand pitch angle\n\nSame spine. Different doorway.\n\nThe Repurposing Engine shows you how to turn one useful idea into a 30-piece campaign without making every platform sound copy-pasted.\n\nGet it here: https://www.mkparrish.com/shop/the-repurposing-engine","2026-07-08","12:00","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","POST","https://www.mkparrish.com/social/the-repurposing-engine-feed.png","","","","","","","https://www.mkparrish.com/shop/the-repurposing-engine"
"On-screen hook:\nStop saying yes to vague UGC briefs.\n\nSpoken:\nIf a brand asks what you can make for them, you should not have to invent the offer in the reply box.\n\nYou need packages.\n\nNot just one video.\n\nStarter content.\nConversion content.\nLaunch-bank content.\nRetainer content.\nUsage questions.\nIntake questions.\nScripts that tie the creative to a business goal.\n\nUseful content is the skill.\n\nScope is the business.\n\nCaption: I made The UGC Brief Bank for creators who need cleaner paid content packages. https://www.mkparrish.com/shop/the-ugc-brief-bank","2026-07-09","17:00","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","REEL","https://www.mkparrish.com/social/the-ugc-brief-bank.mp4","","","","","","","https://www.mkparrish.com/shop/the-ugc-brief-bank"
"Brand deals do not only go to the creator with the biggest audience.\n\nThey go to the creator who can make the buyer feel safe saying yes.\n\nThat means:\n\n- a media kit that explains the audience\n- a rate card that makes scope clear\n- usage questions before the number goes out\n- pitch language that does not beg\n- a tracker so a maybe does not disappear\n\nYou do not need to perform being huge.\n\nYou need to look organized, useful, and easy to work with.\n\nThe Brand Deal Room is the media kit, rate card, pitch script, and partnership tracker I would want every creator to have before the next inbound email lands.\n\nGet it here: https://www.mkparrish.com/shop/the-brand-deal-room","2026-07-10","09:00","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","","","","","","","","","https://www.mkparrish.com/shop/the-brand-deal-room"
"AI can help you move faster.\n\nIt can also sand your voice into the average of the internet.\n\nThe fix is not never use AI.\n\nThe fix is better inputs:\n\n- your real voice samples\n- your point of view\n- your no-go phrases\n- your platform rules\n- your edit pass for generic language\n\nSpeed is useful.\n\nSounding like nobody is not.\n\nThe AI Content Twin is the prompt workbook for drafting faster without losing the person.\n\nGet it here: https://www.mkparrish.com/shop/the-ai-content-twin","2026-07-11","12:00","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","POST","https://www.mkparrish.com/social/the-ai-content-twin-feed.png","","","","","","","https://www.mkparrish.com/shop/the-ai-content-twin"
"On-screen hook:\nSell from TikTok Shop without torching trust.\n\nSpoken:\nAffiliate content goes bad when the product is random and the post feels like rent is due.\n\nBefore you promote anything, ask:\n\nWould I talk about this without the commission?\nDoes this solve a real problem for my audience?\nCan I make more than one useful post about it?\nWould I still trust myself after posting it seven times?\n\nThe product has to fit the relationship.\n\nThat is what protects the sale.\n\nCaption: The TikTok Shop Sprint is a 14-day affiliate test for creator commerce with taste. https://www.mkparrish.com/shop/the-tiktok-shop-sprint","2026-07-12","17:00","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","REEL","https://www.mkparrish.com/social/the-tiktok-shop-sprint.mp4","","","","","","","https://www.mkparrish.com/shop/the-tiktok-shop-sprint"
"The platform can change.\n\nThe relationship should not disappear.\n\nThat is why creators need owned audience paths:\n\nEmail.\nCommunity.\nDirect checkout.\nSaved resources.\nProducts that can live outside the feed.\n\nYour social account is the discovery layer.\n\nIt should not be the whole business.\n\nEvery post that earns trust should give the right person a next step.\n\nI built The Creator-Owned Funnel for exactly that bridge.\n\nGet it here: https://www.mkparrish.com/shop/the-creator-owned-funnel","2026-07-13","09:00","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","","","","","","","","","https://www.mkparrish.com/shop/the-creator-owned-funnel"
"The six assets every creator needs before the next brand email:\n\n1. A media kit.\n2. A rate card.\n3. A UGC package menu.\n4. A repurposing system.\n5. An AI voice guardrail.\n6. An owned funnel.\n\nNot because every creator needs to become a full agency.\n\nBecause every creator who wants to get paid needs to stop rebuilding the business from scratch in every DM.\n\nI made the Creator Revenue Stack for this.\n\nShop the stack here: https://www.mkparrish.com/creator-revenue","2026-07-14","12:00","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","POST","https://www.mkparrish.com/social/creator-revenue-stack-carousel-01.png","https://www.mkparrish.com/social/creator-revenue-stack-carousel-02.png","https://www.mkparrish.com/social/creator-revenue-stack-carousel-03.png","https://www.mkparrish.com/social/creator-revenue-stack-carousel-04.png","https://www.mkparrish.com/social/creator-revenue-stack-carousel-05.png","https://www.mkparrish.com/social/creator-revenue-stack-carousel-06.png","https://www.mkparrish.com/social/creator-revenue-stack-carousel-07.png","https://www.mkparrish.com/creator-revenue"
"On-screen hook:\nThe money path is not in your bio.\n\nSpoken:\nYour link in bio is only a doorway.\n\nThe question is what happens after someone clicks.\n\nDo they know what to buy?\nDo they know what problem it solves?\nDo they trust the offer?\nDo you have a follow-up?\nDoes the post that sent them there match the page they land on?\n\nMonetization is not a magic link.\n\nIt is a path.\n\nCaption: I built the Creator Revenue Stack for the path behind the post. https://www.mkparrish.com/creator-revenue","2026-07-15","17:00","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","REEL","https://www.mkparrish.com/social/the-creator-owned-funnel.mp4","","","","","","","https://www.mkparrish.com/creator-revenue"
"I rebuilt The Services Vault for the creator economy.\n\nIt used to be the self-study version of my service methods:\n\npositioning, websites, social strategy, voice capture, editing, AI prompts, and brand messaging.\n\nNow it includes the creator revenue layer too:\n\nbrand deals, UGC, TikTok Shop, repurposing, AI voice, and owned audience.\n\nFourteen guides total.\n\nBought one by one, the library is worth $567.\n\nThe bundle is $127.\n\nThis is the shelf I wish every creator had before trying to make social media pay them back.\n\nGet The Services Vault here: https://www.mkparrish.com/shop/the-services-vault","2026-07-16","09:00","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","","https://www.mkparrish.com/social/the-services-vault-feed.png","","","","","","","https://www.mkparrish.com/shop/the-services-vault"
